folder,product,vendor,type,file,url
02_accessories,C* Freestanding Legs For C8 & C2-Pro RC,Align Pilates,Pilates Studio,C_Freestanding_Legs_For_C8_C2-Pro_RC.jpg,https://www.t8fitness.com/products/c-freestanding-legs-for-c8-c2-pro-rc
01_key-equipment,Leg Extensions for C-Series Pilates Reformer,Align Pilates,Pilates Studio,Leg_Extensions_for_C-Series_Pilates_Reformer.jpg,https://www.t8fitness.com/products/c-pro-legs
01_key-equipment,Reformer Neck Pillow by A-P,Align Pilates,Pilates Studio,Reformer_Neck_Pillow_by_A-P.jpg,https://www.t8fitness.com/products/reformer-neck-pillow-by-a-p
02_accessories,"Gondola Pole Maple 60""",Align Pilates,Pilates Studio,Gondola_Pole_Maple_60.jpg,https://www.t8fitness.com/products/gondola-pole-maple-60
02_accessories,Silent Double Loop Straps Pair,Align Pilates,Pilates Studio,Silent_Double_Loop_Straps_Pair.jpg,https://www.t8fitness.com/products/silent-double-loop-straps-pair
02_accessories,Align - Washable Reformer Double Loop Straps,Align Pilates,Pilates Studio,Align_-_Washable_Reformer_Double_Loop_Straps.jpg,https://www.t8fitness.com/products/washable-reformer-double-loop-straps
02_accessories,M8-Pro Maple Pilates Reformer & Sitting Box,Align Pilates,Pilates Studio,M8-Pro_Maple_Pilates_Reformer_Sitting_Box.jpg,https://www.t8fitness.com/products/m8-pro-maple-pilates-reformer-sitting-box
01_key-equipment,C8-S Pro Reformer by Align Pilates,Align Pilates,Pilates Studio,C8-S_Pro_Reformer_by_Align_Pilates.jpg,https://www.t8fitness.com/products/c8-s-pro-reformer-by-align-pilates
01_key-equipment,C8-S Pro Reformer by Align Pilates,Align Pilates,Pilates Studio,C8-S_Pro_Reformer_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/c8-s-pro-reformer-by-align-pilates
01_key-equipment,C8-S Pro Reformer by Align Pilates,Align Pilates,Pilates Studio,C8-S_Pro_Reformer_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/c8-s-pro-reformer-by-align-pilates
01_key-equipment,C8-S Pro Reformer by Align Pilates,Align Pilates,Pilates Studio,C8-S_Pro_Reformer_by_Align_Pilates__4.jpg,https://www.t8fitness.com/products/c8-s-pro-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates__4.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates__5.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_by_Align_Pilates__6.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-by-align-pilates
02_accessories,"Align-Pilates 2"" x 10"" x 13"" Pilates Block",Align Pilates,Pilates Studio,Align-Pilates_2_x_10_x_13_Pilates_Block.jpg,https://www.t8fitness.com/products/align-pilates-2-x-10-x-13-pilates-block
02_accessories,Align-Pilates 1″ x 6″ x 9″ Pilates Block,Align Pilates,Pilates Studio,Align-Pilates_1_x_6_x_9_Pilates_Block.jpg,https://www.t8fitness.com/products/align-pilates-1-x-6-x-9-pilates-block
02_accessories,Platform Extender for F & H-Series Reformers,Align Pilates,Pilates Studio,Platform_Extender_for_F_H-Series_Reformers.jpg,https://www.t8fitness.com/products/platform-extender-for-f-h-series-reformers
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__4.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__5.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__6.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
01_key-equipment,R8-Pro Pilates Reformer - White by Align Pilates,Align Pilates,Pilates Studio,R8-Pro_Pilates_Reformer_-_White_by_Align_Pilates__7.jpg,https://www.t8fitness.com/products/r8-pro-pilates-reformer-white-by-align-pilates
02_accessories,Half Cadillac Bracket For C8-S Reformer,Align Pilates,Pilates Studio,Half_Cadillac_Bracket_For_C8-S_Reformer.jpg,https://www.t8fitness.com/products/half-cadillac-bracket-for-c8-s-reformer
01_key-equipment,C8-Pro Pilates Reformer – Noir/Black,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_Noir_Black.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-noir-black
01_key-equipment,C8-Pro Pilates Reformer – Noir/Black,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_Noir_Black__2.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-noir-black
01_key-equipment,C8-Pro Pilates Reformer – Noir/Black,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_Noir_Black__3.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-noir-black
01_key-equipment,C8-Pro Pilates Reformer – Noir/Black,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_Noir_Black__4.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-noir-black
01_key-equipment,C8-Pro Pilates Reformer – Noir/Black,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_Noir_Black__5.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-noir-black
02_accessories,Long Springs 64cm For Pilates Cadillac – Very Light (Yellow),Align Pilates,Pilates Studio,Long_Springs_64cm_For_Pilates_Cadillac_Very_Light_Yellow.jpg,https://www.t8fitness.com/products/long-springs-64cm-for-pilates-cadillac-very-light-yellow
02_accessories,Gondola Metal Pilates Pole – 60″,Align Pilates,Pilates Studio,Gondola_Metal_Pilates_Pole_60.jpg,https://www.t8fitness.com/products/gondola-metal-pilates-pole-60
02_accessories,"Roll Up Maple Pole 32""",Align Pilates,Pilates Studio,Roll_Up_Maple_Pole_32.jpg,https://www.t8fitness.com/products/roll-up-maple-pole-32
02_accessories,Long Springs 64cm For Pilates Cadillac – Strong (Red),Align Pilates,Pilates Studio,Long_Springs_64cm_For_Pilates_Cadillac_Strong_Red.jpg,
02_accessories,Long Springs 64cm For Pilates Cadillac – Light (Purple),Align Pilates,Pilates Studio,Long_Springs_64cm_For_Pilates_Cadillac_Light_Purple.jpg,
02_accessories,Large Upholstered Postural Wedge,Align Pilates,Pilates Studio,Large_Upholstered_Postural_Wedge.jpg,https://www.t8fitness.com/products/large-upholstered-postural-wedge
02_accessories,Align Reformer Spring (Medium Red),Align Pilates,Pilates Studio,Align_Reformer_Spring_Medium_Red.jpg,https://www.t8fitness.com/products/align-reformer-spring-medium-red
02_accessories,Align Reformer Spring Strong - Green,Align Pilates,Pilates Studio,Align_Reformer_Spring_Strong_-_Green.jpg,https://www.t8fitness.com/products/align-reformer-spring-strong-green
02_accessories,Reformer & Cadillac Spring 47cm - Light (Blue),Align Pilates,Pilates Studio,Reformer_Cadillac_Spring_47cm_-_Light_Blue.jpg,https://www.t8fitness.com/products/reformer-cadillac-spring-47cm-light-blue
01_key-equipment,C8-Pro Pilates Reformer with Full Cadillac,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_with_Full_Cadillac.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-with-full-cadillac
01_key-equipment,C8-Pro Pilates Reformer with Full Cadillac,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_with_Full_Cadillac__2.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-with-full-cadillac
01_key-equipment,C8-Pro Pilates Reformer with Full Cadillac,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_with_Full_Cadillac__3.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-with-full-cadillac
01_key-equipment,C8-Pro Pilates Reformer with Full Cadillac,Align Pilates,Pilates Studio,C8-Pro_Pilates_Reformer_with_Full_Cadillac__4.jpg,https://www.t8fitness.com/products/c8-pro-pilates-reformer-with-full-cadillac
